"측정일자","측정시간","지역","지역명","도로명","시작점","종점","기온","습도","재비산먼지 평균농도","오염범례"
"2022-12-02","11:24","인천","미추홀구","아암대로(남→북)","인천광역시 미추홀구 학익동 587-115도","인천광역시 미추홀구 숭의동 443-1도","0","27","15","매우좋음"
"2022-12-02","11:56","인천","미추홀구","인하로(서→동)","인천광역시 미추홀구 용현동 345-1 도","인천광역시 미추홀구 관교동 16도","-1","22","57","좋음"
"2022-12-02","12:08","인천","미추홀구","인주대로(동→서)","인천광역시 미추홀구 주안동 1484도","인천광역시 미추홀구 숭의동 440-16 철","0","21","86","좋음"
"2022-12-02","12:20","인천","미추홀구","석정로(서→동)","인천광역시 미추홀구 숭의동 162-14도","인천광역시 미추홀구 주안동 40-4도","0","23","17","매우좋음"
"2022-12-02","12:38","인천","미추홀구","경원대로(북→남)","인천광역시 미추홀구 주안동 40-4도","인천광역시 미추홀구 문학동 23-3 도","0","23","6","매우좋음"
"2022-12-02","13:02","인천","미추홀구","미추홀대로(남→북)","인천광역시 미추홀구 학익동 82-18 임","인천광역시 미추홀구 주안동 234도","1","23","24","매우좋음"
"2022-12-02","13:29","인천","미추홀구","한나루로(북→남)","인천광역시 미추홀구 도화동 546도","인천광역시 미추홀구 학익동 180-11 도","1","23","74","좋음"
"2022-12-02","09:54","인천","남동구","능허대로(서→동)","인천광역시 남동구 고잔동 744-1 천","인천광역시 남동구 고잔동 801 도","-2","35","10","매우좋음"
"2022-12-02","10:38","인천","남동구","남동대로(북→남)","인천광역시 남동구 간석동 215-1도","인천광역시 남동구 고잔동 793 도","-1","31","18","매우좋음"
"2022-12-02","11:07","인천","남동구","남동서로(남→북)","인천광역시 남동구 고잔동 788-1도","인천광역시 남동구 남촌동 635도","-1","30","15","매우좋음"
"2022-12-02","11:17","인천","남동구","비류대로(서→동)","인천광역시 남동구 남촌동 632천","인천광역시 남동구 논현동 1-25유","0","30","15","매우좋음"
"2022-12-02","11:26","인천","남동구","논고개로(북→남)","인천광역시 남동구 도림동 26-9 도","인천광역시 남동구 논현동 809 도","-1","30","15","매우좋음"
"2022-12-02","11:38","인천","남동구","소래역로(남→북)","인천광역시 남동구 논현동 727-1도","인천광역시 남동구 논현동 685도","-1","32","119","보통"
"2022-12-02","11:43","인천","남동구","포구로(북→남)","인천광역시 남동구 논현동 685도","인천광역시 남동구 논현동 111-339 도","-1","31","26","매우좋음"
"2022-12-02","12:29","인천","남동구","청능대로(동→서)","인천광역시 남동구 논현동 26-1 도","인천광역시 남동구 고잔동 743제","1","23","16","매우좋음"
"2022-12-02","12:44","인천","남동구","은봉로(서→동)","인천광역시 남동구 논현동 471-4도","인천광역시 남동구 논현동 26-1 도","0","23","31","매우좋음"
"2022-12-02","13:03","인천","남동구","논현로(동→서)","인천광역시 남동구 논현동 693도","인천광역시 남동구 논현동 714도","0","24","15","매우좋음"
"2022-12-02","13:15","인천","남동구","은청로(동→서)","인천광역시 남동구 고잔동 768도","인천광역시 남동구 고잔동 748도","0","24","16","매우좋음"
"2022-12-02","13:30","인천","남동구","호구포로(남→북)","인천광역시 남동구 고잔동 793 도","인천광역시 남동구 만수동 산2-2 임","1","24","22","매우좋음"
"2022-12-05","10:47","서울","강남구","테헤란로(동→서)","서울특별시 강남구 삼성동 172-66 도","서울특별시 강남구 역삼동 858 도","-1","33","49","매우좋음"
"2022-12-05","11:15","서울","강남구","도산대로(서→동)","서울특별시 강남구 논현동 280 도","서울특별시 강남구 청담동 77-4 도","-2","33","41","매우좋음"
"2022-12-05","11:27","서울","강남구","영동대로(북→남)","서울특별시 광진구 자양동 158-17천","서울특별시 강남구 개포동 146-5 도","0","31","37","매우좋음"
"2022-12-05","12:39","서울","서초구","강남대로(북→남)","서울특별시 서초구 잠원동 77 도","서울특별시 서초구 양재동 238도","0","34","35","매우좋음"
"2022-12-05","13:17","서울","서초구","서초대로(서→동)","서울특별시 서초구 방배동 2989도","서울특별시 서초구 서초동 1373도","0","31","72","좋음"
"2022-12-05","12:42","서울","송파구","동남로(남→북)","서울특별시 송파구 문정동 150-14 도","서울특별시 송파구 방이동 434-1임","0","29","70","좋음"
"2022-12-05","13:14","서울","송파구","거마로(남→북)","서울특별시 송파구 거여동 20-14도","서울특별시 송파구 마천동 63-8 도","0","29","57","좋음"
"2022-12-05","13:25","서울","송파구","중대로(동→서)","서울특별시 송파구 오금동 3-6도","서울특별시 송파구 가락동 616-1천","1","28","51","좋음"
"2022-12-05","13:38","서울","송파구","양재대로(남→북)","서울특별시 송파구 가락동 520천","서울특별시 송파구 방이동 89-29도","1","30","34","매우좋음"
"2022-12-05","14:04","서울","송파구","백제고분로(동→서)","서울특별시 송파구 방이동 94-3도","서울특별시 송파구 잠실동 12도","2","28","52","좋음"
"2022-12-05","14:30","서울","송파구","삼전로(북→남)","서울특별시 송파구 잠실동 38도","서울특별시 송파구 삼전동 186-4천","2","28","40","매우좋음"
"2022-12-05","14:39","서울","송파구","삼학사로(남→북)","서울특별시 송파구 삼전동 156도","서울특별시 송파구 잠실동 43도","2","27","38","매우좋음"
"2022-12-05","14:51","서울","송파구","잠실로(동→서)","서울특별시 송파구 신천동 34도","서울특별시 송파구 잠실동 26-1도","2","25","75","좋음"
"2022-12-05","15:03","서울","송파구","송파대로(북→남)","서울특별시 광진구 자양동 753-2도","서울특별시 송파구 장지동 596-21도","2","25","42","매우좋음"
"2022-12-05","10:17","경기","안산시 단원구","능길로(북→남)","경기도 안산시단원구 신길동 1440도","경기도 안산시단원구 성곡동 590도","-2","41","9","매우좋음"
"2022-12-05","10:29","경기","안산시 단원구","엠티브이1로(서→동)","경기도 안산시단원구 성곡동 834도","경기도 안산시단원구 목내동 534도","-2","39","8","매우좋음"
"2022-12-05","10:47","경기","안산시 단원구","풍전로(서→동)","경기도 안산시단원구 원시동 803도","경기도 안산시단원구 원곡동 935-1도","-2","39","12","매우좋음"
"2022-12-05","10:49","경기","안산시 단원구","연수원로(북→남)","경기도 안산시단원구 원곡동 993-7도","경기도 안산시단원구 원시동 804도","-2","39","16","매우좋음"
"2022-12-05","10:52","경기","안산시 단원구","신안산대학로(북→남)","경기도 안산시단원구 초지동 663-10도","경기도 안산시단원구 초지동 660-27 도","-2","40","10","매우좋음"
"2022-12-05","11:00","경기","안산시 단원구","초지로(남→북)","경기도 안산시단원구 초지동 794 도","경기도 안산시단원구 초지동 602-2도","-1","38","8","매우좋음"
"2022-12-05","11:15","경기","안산시 단원구","한양대학로(북→남)","경기도 안산시단원구 고잔동 554-2도","경기도 안산시단원구 고잔동 847천","-1","34","8","매우좋음"
"2022-12-05","11:21","경기","안산시 단원구","광덕동로(남→북)","경기도 안산시단원구 고잔동 827도","경기도 안산시단원구 고잔동 823도","-1","34","12","매우좋음"
"2022-12-05","11:30","경기","안산시 단원구","광덕서로(북→남)","경기도 안산시단원구 고잔동 789도","경기도 안산시단원구 고잔동 811도","-1","36","11","매우좋음"
"2022-12-05","11:38","경기","안산시 단원구","광덕대로(남→북)","경기도 안산시단원구 고잔동 847천","경기도 안산시단원구 고잔동 554도","-1","35","7","매우좋음"
"2022-12-05","11:53","경기","안산시 단원구","적금로(북→남)","경기도 안산시단원구 고잔동 630도","경기도 안산시단원구 고잔동 784도","0","35","9","매우좋음"
"2022-12-05","12:05","경기","안산시 단원구","초지1로(동→서)","경기도 안산시단원구 초지동 781도","경기도 안산시단원구 초지동 793 도","0","35","11","매우좋음"
"2022-12-05","12:11","경기","안산시 단원구","광덕1로(서→동)","경기도 안산시단원구 초지동 793 도","경기도 안산시단원구 고잔동 785천","0","35","8","매우좋음"
"2022-12-05","12:22","경기","안산시 상록구","광덕1로(서→동)","경기도 안산시상록구 이동 757천","경기도 안산시상록구 이동 726도","0","34","16","매우좋음"
"2022-12-05","13:33","경기","안산시 상록구","광덕3로(동→서)","경기도 안산시상록구 이동 726도","경기도 안산시상록구 이동 759천","2","26","15","매우좋음"
"2022-12-05","13:37","경기","안산시 단원구","광덕3로(동→서)","경기도 안산시단원구 고잔동 831천","경기도 안산시단원구 초지동 793 도","2","28","14","매우좋음"
"2022-12-05","13:54","경기","안산시 단원구","광덕2로(서→동)","경기도 안산시단원구 초지동 793 도","경기도 안산시단원구 고잔동 845도","2","27","26","매우좋음"
"2022-12-05","14:09","경기","안산시 상록구","삼리로(서→동)","경기도 안산시상록구 사동 1609도","경기도 안산시상록구 사동 1605도","2","26","15","매우좋음"
"2022-12-05","14:16","경기","안산시 상록구","감골로(북→남)","경기도 안산시상록구 사동 1212-5도","경기도 안산시상록구 사동 1628도","2","26","17","매우좋음"
"2022-12-05","14:25","경기","안산시 상록구","선진로(서→동)","경기도 안산시상록구 사동 1628도","경기도 안산시상록구 사동 1628도","2","25","26","매우좋음"
"2022-12-05","14:32","경기","안산시 상록구","이호로(서→동)","경기도 안산시상록구 본오동 995도","경기도 안산시상록구 본오동 881-77도","2","25","24","매우좋음"
"2022-12-05","14:41","경기","안산시 상록구","반석로(동→서)","경기도 안산시상록구 본오동 828-13도","경기도 안산시상록구 본오동 881도","2","25","35","매우좋음"
"2022-12-05","14:52","경기","안산시 상록구","본오로(북→남)","경기도 안산시상록구 본오동 875-6도","경기도 안산시상록구 본오동 1158도","2","25","23","매우좋음"
