ds,자치구,기온,상대습도,초미세먼지,미세먼지
2024-01-01,도봉구,0.3,100.0,12.0,13.0
2024-01-01,도봉구,1.9,100.0,22.0,24.0
2024-01-01,도봉구,-0.2,100.0,34.0,37.0
2024-01-01,도봉구,2.2,100.0,17.0,18.0
2024-01-01,도봉구,2.2,86.0,17.0,18.0
2024-01-01,도봉구,-40.0,100.0,15.0,16.0
2024-01-01,도봉구,-40.0,90.0,1.0,2.0
2024-01-01,도봉구,-3.4,100.0,17.0,18.0
2024-01-01,도봉구,2.7,100.0,10.0,11.0
2024-01-01,도봉구,0.8,85.0,20.0,22.0
2024-01-01,도봉구,2.2,100.0,19.0,21.0
2024-01-01,도봉구,1.6,89.0,15.0,16.0
2024-01-01,도봉구,-5.1,100.0,23.0,25.0
2024-01-01,도봉구,0.8,100.0,17.0,19.0
2024-01-01,도봉구,0.9,100.0,18.0,19.0
2024-01-01,도봉구,4.0,78.0,15.0,16.0
2024-01-01,도봉구,1.8,85.0,15.0,16.0
2024-01-01,도봉구,2.7,82.0,5.0,6.0
2024-01-01,도봉구,4.5,77.0,6.0,7.0
2024-01-01,도봉구,2.3,84.0,1.0,2.0
2024-01-01,도봉구,1.3,85.0,1.0,2.0
2024-01-01,도봉구,2.8,82.0,11.0,12.0
2024-01-01,도봉구,3.3,80.0,9.0,10.0
2024-01-01,도봉구,2.3,85.0,8.0,8.0
2024-01-01,도봉구,1.9,85.0,6.0,7.0
2024-01-01,도봉구,2.7,83.0,5.0,6.0
2024-01-01,도봉구,2.5,85.0,1.0,2.0
2024-01-01,도봉구,3.3,81.0,5.0,6.0
2024-01-01,도봉구,1.0,90.0,14.0,15.0
2024-01-01,도봉구,3.0,81.0,20.0,21.0
2024-01-01,도봉구,1.7,85.0,1.0,2.0
2024-01-01,도봉구,1.5,87.0,9.0,10.0
2024-01-01,도봉구,1.1,89.0,12.0,13.0
2024-01-01,도봉구,2.7,84.0,1.0,2.0
2024-01-01,도봉구,2.2,85.0,14.0,15.0
2024-01-01,도봉구,1.6,87.0,8.0,9.0
2024-01-01,도봉구,2.5,87.0,13.0,14.0
2024-01-01,도봉구,3.2,82.0,16.0,17.0
2024-01-01,도봉구,2.5,100.0,20.0,22.0
2024-01-01,도봉구,-40.0,80.0,2.0,3.0
2024-01-01,도봉구,2.3,100.0,2.0,3.0
2024-01-01,도봉구,0.9,100.0,40.0,43.0
2024-01-01,도봉구,3.8,100.0,26.0,28.0
2024-01-01,도봉구,2.9,86.0,21.0,23.0
2024-01-01,도봉구,-2.4,100.0,23.0,24.0
2024-01-01,도봉구,3.9,99.0,21.0,23.0
2024-01-01,도봉구,2.1,88.0,17.0,18.0
2024-01-01,도봉구,1.8,85.0,21.0,23.0
2024-01-01,도봉구,3.0,100.0,11.0,12.0
2024-01-01,도봉구,2.0,100.0,18.0,19.0
2024-01-01,도봉구,-40.0,100.0,18.0,20.0
2024-01-01,도봉구,-4.5,100.0,27.0,29.0
2024-01-01,도봉구,2.3,100.0,14.0,15.0
2024-01-01,도봉구,2.6,97.0,12.0,13.0
2024-01-01,도봉구,1.9,98.0,20.0,22.0
