날짜,도로명,평균속도예측
2023-06-01,강남대로,25.110906138888893
2023-07-01,강남대로,25.103485860523744
2023-08-01,강남대로,25.095818240373507
2023-09-01,강남대로,25.08815062132285
2023-10-01,강남대로,25.080730345925872
2023-11-01,강남대로,25.073062726801922
2023-12-01,강남대로,25.065642448445416
2024-01-01,강남대로,25.057974829206508
2024-02-01,강남대로,25.05030720926394
2024-03-01,강남대로,25.043134274944087
2024-04-01,강남대로,25.035466655498727
2024-04-30,강남대로,25.02829372117887
2024-05-31,강남대로,25.02062610173351
2024-06-30,강남대로,25.013205824850903
2024-07-31,강남대로,25.00553820540554
2024-08-31,강남대로,24.99787058596018
2024-09-30,강남대로,24.99045030907757
2023-06-01,강남순환로,79.06375411433334
2023-07-01,강남순환로,79.40222955541515
2023-08-01,강남순환로,79.75198750310157
2023-09-01,강남순환로,80.10174808126428
2023-10-01,강남순환로,80.44022605976018
2023-11-01,강남순환로,80.78998663908935
2023-12-01,강남순환로,81.12846462806307
2024-01-01,강남순환로,81.47822521655543
2024-02-01,강남순환로,81.827985811501
2024-03-01,강남순환로,82.15518121166556
2024-04-01,강남순환로,82.50494181184149
2024-04-30,강남순환로,82.83213721200606
2024-05-31,강남순환로,83.18189781218199
2024-06-30,강남순환로,83.52037581235223
2024-07-31,강남순환로,83.87013641252815
2024-08-31,강남순환로,84.21989701270408
2024-09-30,강남순환로,84.55837501287432
2023-06-01,강동대로,32.242635987
2023-07-01,강동대로,32.16233439818361
2023-08-01,강동대로,32.079356090610375
2023-09-01,강동대로,31.997483989341504
2023-10-01,강동대로,31.920502472010988
2023-11-01,강동대로,31.840954904290548
2023-12-01,강동대로,31.89572796028928
2024-01-01,강동대로,31.952572511829974
2024-02-01,강동대로,32.009417063374855
2024-03-01,강동대로,32.06259422449748
2024-04-01,강동대로,32.119438776042365
2024-04-30,강동대로,32.17261593716499
2024-05-31,강동대로,32.22946048870987
2024-06-30,강동대로,32.28447134504363
2024-07-31,강동대로,32.341315896588505
2024-08-31,강동대로,32.39816044813338
2024-09-30,강동대로,32.45317130446713
