측정일,지역,지역 상세,도로명,평균 농도
2022-09-01,경기,성남시 중원구,광명로,536
2022-09-02,충북,충주시,중원대로,206
2022-09-02,충북,음성군,연미로,358
2022-09-02,인천,미추홀구,미추홀대로,534
2022-09-07,경기,양주시,고읍남로,242
2022-09-08,서울,구로구,금오로,228
2022-09-08,경기,시흥시,월곶중앙로14번길,939
2022-09-14,경기,고양시 덕양구,중앙로,202
2022-09-14,경기,고양시 덕양구,화랑로,216
2022-09-14,인천,서구,도담로,324
2022-09-14,경기,시흥시,역전로,267
2022-09-14,인천,서구,드림로,866
2022-09-15,경기,수원시 권선구,장다리로,218
2022-09-16,경기,고양시 덕양구,소원로,1614
2022-09-21,충남,홍성군,신대로,211
2022-09-21,충남,홍성군,홍예로,207
2022-09-21,대구,북구,검단공단로,527
2022-09-22,경기,평택시,산단로,1679
2022-09-22,대구,서구,문화로,274
2022-09-22,충남,아산시,공원로,1080
2022-09-22,울산,북구,효암로,415
2022-09-23,경기,김포시,마송1로,1304
2022-09-23,경기,김포시,마송로,485
2022-09-23,경기,김포시,양곡4로,352
2022-09-26,경기,고양시 일산동구,월드고양로,392
2022-09-26,경기,김포시,풍무로68번길,341
2022-09-27,경기,파주시,헤이리로,460
2022-09-27,경기,파주시,성동로,246
2022-09-29,경기,성남시 중원구,광명로,295
2022-09-30,경기,광명시,금오로,550
2022-12-29,서울,강서구,공항대로,244
2022-12-29,서울,강서구,마곡중앙로,367
2022-12-29,서울,강서구,양천로,259
2022-12-29,경기,광명시,오리로,285
2022-12-26,경기,의왕시,경수대로,1322
2022-12-26,경기,의왕시,내손로,1745
2022-12-20,경기,안산시 단원구,해안로,404
2022-12-20,경기,안산시 단원구,신안산대학로,258
2022-12-19,경기,광명시,소하로,215
2022-12-19,서울,영등포구,디지털로,201
2022-12-19,경기,광명시,덕안로,284
2022-12-19,경기,광명시,성채로,268
2022-12-19,서울,관악구,관악로,227
2022-12-19,경기,광명시,철망산로,389
2022-12-19,경기,광명시,범안로,313
2022-12-14,인천,중구,햇내로,222
2022-12-14,경기,양주시,고읍남로,2964
2022-12-14,인천,중구,흰바위로,329
2022-12-14,경기,양주시,고읍북로,1468
2022-12-14,인천,중구,신도시북로,1023
2022-12-14,경기,양주시,고읍로,491
2022-12-14,인천,중구,신도시남로,1176
2022-12-14,경기,양주시,회천남로,751
2022-12-14,경기,양주시,회천로,777
2022-12-14,경기,양주시,고암길,633
2022-12-14,경기,양주시,옥정서로,766
2022-12-14,경기,양주시,옥정동로,857
2022-12-14,경기,양주시,독바위로,788
2022-12-14,경기,양주시,회정로,369
2022-12-14,경기,양주시,부흥로,373
2022-12-14,경기,양주시,평화로,716
2022-12-14,인천,부평구,평천로,225
2022-12-13,경기,남양주시,별내중앙로,635
2022-12-13,경기,고양시 일산동구,일산로,212
2022-12-13,경기,고양시 일산동구,강송로,479
2022-12-13,경기,남양주시,별내5로,531
2022-12-13,경기,남양주시,순화궁로,411
2022-12-13,경기,고양시 일산동구,중앙로,221
2022-12-13,경기,남양주시,별내3로,444
2022-12-13,경기,남양주시,별내2로,344
2022-12-13,경기,남양주시,송산로,211
2022-12-13,경기,남양주시,늘을2로,252
2022-12-12,경기,양주시,중앙로,212
2022-12-12,경기,양주시,고릉말로,425
2022-12-12,경기,고양시 덕양구,충장로,230
2022-12-08,경북,영천시,시장로,515
2022-12-08,인천,부평구,마장로,249
2022-12-08,경기,오산시,경기대로,248
2022-12-08,경기,성남시 분당구,구미로173번길,251
2022-12-07,대구,서구,문화로,697
2022-12-07,대구,남구,봉덕로,210
2022-12-07,대구,남구,대덕로,514
2022-12-07,대구,북구,검단공단로,243
2022-12-06,경북,포항시 북구,천마로,250
2022-12-05,서울,종로구,효자로,476
2022-12-02,경기,양평군,중앙로,531
2022-12-01,경기,평택시,포승공단로,202
2022-12-01,경기,평택시,평택항로156번길,311
2022-12-01,경기,평택시,평택항로,216
2022-11-29,서울,강동구,올림픽로,201
2022-11-29,경기,파주시,헤이리로,228
2022-11-25,경기,포천시,호국로,267
2022-11-24,경기,동두천시,상패로,306
2022-11-24,경기,고양시 덕양구,백양로,540
2022-11-22,경기,부천시,오정로,213
2022-11-22,경기,고양시 일산동구,월드고양로,215
2022-11-18,인천,서구,드림로,933
2022-11-17,인천,서구,중봉대로393번길,323
2022-11-17,충남,홍성군,신대로,286
2022-11-17,충남,홍성군,홍예로,396
2022-11-17,인천,서구,석남로,317
2022-11-17,충남,보령시,보령남로,214
2022-11-17,경기,시흥시,군자로,263
2022-11-17,충남,청양군,문화예술로,378
2022-11-17,충남,청양군,칠갑산로,555
2022-11-16,인천,서구,원당대로,224
2022-11-16,대전,중구,대종로,281
2022-11-16,인천,서구,도담로,972
2022-11-16,인천,서구,마중로,438
2022-11-14,경기,김포시,마송1로,309
2022-11-10,충남,서천군,충절로,294
2022-11-10,충남,서천군,서문로,363
2022-11-09,전북,군산시,서해로,514
2022-11-09,전북,군산시,임해로,230
2022-11-08,경기,평택시,지산천로,239
2022-11-08,경기,평택시,산단로,858
2022-11-03,경기,화성시,경기대로,296
2022-11-03,경기,광주시,광여로,580
2022-11-03,경남,고성군,송학로,244
2022-11-03,경기,광주시,포돌이로,419
2022-11-02,경기,화성시,동화역말길,206
2022-11-02,서울,강동구,올림픽로,314
2022-11-01,서울,강서구,마곡중앙로,213
2022-10-27,충북,음성군,태정로,381
2022-10-26,울산,울주군,울산역로,1158
2022-10-26,대구,서구,문화로,496
2022-10-26,경북,포항시 북구,장량로,260
2022-10-26,대구,북구,검단공단로,408
2022-10-26,경북,포항시 남구,희망대로,215
2022-10-25,경북,포항시 남구,상공로,232
2022-10-25,경북,포항시 남구,문예로,253
2022-10-25,인천,남동구,은봉로,240
