지역명,도로명,차선,도로등급,도로유형,최고속도,링크연장,업데이트
중랑구,망우로,4,103,0,50,238.62756027919,20230519
송파구,오금로35길,1,104,0,40,518.991291282508,20230519
동대문구,답십리로72길,1,104,0,30,139.870661723532,20230519
광진구,능동로,3,104,0,50,142.676604873701,20230519
은평구,은평로,2,104,0,50,444.619645143489,20230519
노원구,중계로,1,104,0,30,691.925734013575,20230519
중구,삼일대로13길,1,104,0,30,161.335293640113,20230519
용산구,강변북로,4,102,0,80,380.707749671672,20230519
송파구,헌릉로,3,106,0,50,88.099422885306,20230519
중랑구,신내역로3길,1,104,0,30,68.211991651789,20230519
광진구,동일로,3,103,0,50,243.953069212651,20230519
금천구,금하로23길,1,104,0,30,160.444753096978,20230519
서초구,경부고속도로,5,101,0,110,241.392898105387,20230519
마포구,월드컵로42길,2,104,0,30,63.080036443585,20230519
영등포구,양평로21길,1,104,0,40,250.521195772938,20230519
은평구,가좌로,2,104,0,50,98.493506090151,20230519
성북구,보문로22길,1,104,0,40,137.535767132648,20230519
성북구,정릉로,3,104,0,50,76.687549303731,20230519
강서구,양천로,3,104,0,50,304.198075586624,20230519
송파구,양재대로,4,104,0,50,68.957849557685,20230519
송파구,삼학사로2길,1,104,0,30,178.062817399879,20230519
송파구,탄천동로,2,104,0,30,125.875286091341,20230519
성동구,난계로,2,104,3,50,55.056391805067,20230519
구로구,구로동로26길,1,104,0,30,691.143394413002,20230519
서대문구,서소문로,3,104,0,50,237.582392303413,20230519
강남구,도곡로101길,1,104,0,40,540.591192301061,20230519
영등포구,오목로,3,104,3,50,99.721223104333,20230519
성동구,금호로,2,104,0,40,33.868897306204,20230519
강북구,우이천로4길-한천로115길,1,104,3,50,49.372397735958,20230519
용산구,이촌로,2,104,0,50,256.141889869251,20230519
용산구,만리재로,2,104,0,50,345.428402620389,20230519
중랑구,면목로,1,104,0,30,16.453629251669,20230519
양천구,목동중앙북로8길,1,104,0,10,228.980059089419,20230519
관악구,신림로,2,104,0,50,304.896854020306,20230519
강남구,테헤란로43길,1,104,0,30,57.55988519315,20230519
구로구,남부순환로,3,104,0,50,208.405027170426,20230519
구로구,새말로,2,104,0,30,81.126180087516,20230519
중랑구,상봉중앙로8길,1,104,0,30,337.55953354543,20230519
노원구,초안산로,3,104,0,50,188.875840645078,20230519
강동구,올림픽대로,1,102,0,40,501.265333336528,20230519
성동구,강변북로,1,102,0,40,731.749699694995,20230519
용산구,서빙고로91나길,1,104,0,40,105.638048950542,20230519
강남구,역삼로,2,104,0,60,551.505039563357,20230519
구로구,고척로,2,104,0,30,88.690572777004,20230519
종로구,청계천로,2,104,0,30,47.566116673203,20230519
성북구,북악산로,1,104,0,30,534.136151990665,20230519
서초구,서운로,2,104,0,30,442.610688409647,20230519
마포구,상암산로,3,104,0,50,341.895161118337,20230519
영등포구,선유로,4,104,0,50,69.707807925886,20230519
서초구,신반포로33길,2,104,0,30,75.878425974441,20230519
